"","community_synchrony","quad"
"1",0.269083838181962,"Q19"
"2",0.364579911918042,"Q20"
"3",0.388734828013097,"Q7"
"4",0.31239640212132,"Q8"
"5",0.304787657427484,"Q10"
"6",0.234712804241212,"Q11"
"7",0.471458630426543,"Q12"
"8",0.161966510902479,"Q13"
"9",0.51786396450844,"Q14"
"10",0.724896261696699,"Q15"
"11",0.964896534185314,"Q16"
"12",0.659781994765905,"Q17"
"13",0.92433673446118,"Q18"
"14",0.369190619884977,"Q21"
"15",0.398172216088117,"Q22"
"16",0.461029308842089,"Q9"
"17",0.400836943001791,"Q1"
"18",0.504340661708156,"Q2"
"19",0.380379477303895,"Q23"
"20",0.45015127582551,"Q24"
"21",0.420834067745133,"Q25"
"22",0.650338332702872,"Q26"
"23",0.567621534651698,"Q3"
"24",0.323453494363164,"Q4"
"25",0.524065343266618,"Q5"
"26",0.553802832981617,"Q6"
